Paper_Count_In_Prev_Years,Avg_Avg_Disruption,STD_Avg_Disruption,COUNT_Avg_Disruption,STD_ERR
1,0.0020667669389846607,0.03993479923777455,68175151,4.8365808412384794e-06
2,0.002292297750687535,0.031263975438341716,7321639,1.155420436749306e-05
3,0.0020477424797340047,0.02842082396619358,1434008,2.3733450208291784e-05
4,0.0018429867094021297,0.023168243183054767,475483,3.359894230286781e-05
5,0.0017238694366305785,0.020728278594832217,186121,4.804691950905503e-05
6,0.0016963445756652486,0.01938576954924819,92318,6.380281672264912e-05
7,0.00189969135390608,0.018476720681604077,48991,8.347698238354929e-05
8,0.002123016449524776,0.018044687091466977,31720,0.0001013171036534114
9,0.0021971187465387523,0.01758804835904703,20658,0.00012236959269994898
10,0.0017921455519561667,0.017943302362360327,14786,0.00014756284661552606
11,0.0014935168718127716,0.014615738360392639,10342,0.00014372042516327876
12,0.0016906708046068102,0.014719989447542726,8102,0.00016353525001510527
13,0.0016499472650187957,0.011819968259842778,5994,0.00015267148891484592
14,0.001557911322213845,0.012859379777985834,4657,0.00018843731334208065
15,0.001579877602454644,0.01636639186599394,3757,0.00026701296410487743
16,0.0008721589678387657,0.012380546993569904,3148,0.00022065941940245138
17,0.0009488667773961003,0.011299281278027599,2529,0.0002246862030429876
18,0.0010779115845882849,0.010551231769644356,2119,0.00022921217623663804
19,0.0014179413511237807,0.009353879476105524,1618,0.00023254259316316293
20,0.0007410492169567751,0.01286013667265633,1428,0.00034031530449006874
21,0.000638787564185835,0.010625354932640586,1298,0.0002949212731447238
22,0.0007590713031495687,0.008608737598403379,1137,0.00025530495163102694
23,0.0007310879200289506,0.0065950242255875145,960,0.0002128534916127909
24,0.0006322249845102343,0.008718118299102127,888,0.00029256089432572917
25,0.0006363343642215617,0.007031990344159033,891,0.00023558054041391562
26,0.0008862544918326944,0.0077130890930297005,769,0.0002781411064669332
27,-5.975941669457247e-05,0.0051096310335879865,610,0.00020688291334735906
28,0.0002130766791453869,0.008330592516072375,529,0.0003621996746118424
29,0.00034082799059372275,0.004172582713343418,495,0.00018754364609684226
30,0.0004675233887784478,0.007663324382296511,406,0.0003803244032340295
31,0.0007621353199199342,0.009361549452996354,407,0.0004640347784160125
32,0.00034147256681742725,0.003204129837940261,388,0.00016266504717714242
33,4.3606174867518234e-05,0.0039040668744353847,336,0.00021298430916987866
34,0.0001297943550700785,0.002747986332629412,343,0.0001483773151498335
35,-0.0005335906680981024,0.005204296010865995,273,0.00031497832339345177
36,0.0002668639277913396,0.004013843702957121,283,0.00023859824203387498
37,0.000764698267888914,0.011907917638122911,228,0.0007886211108479674
38,6.5956559782867516e-06,0.005670471259507031,216,0.00038582669963636894
39,0.0003863513257154478,0.004798543866392271,203,0.00033679175450113845
40,-4.20764912473635e-05,0.005357052087480332,209,0.0003705550412594094
41,-0.00020274239800399267,0.004273979699038146,167,0.00033073047864949753
42,0.0009153066385933044,0.006815382074542376,164,0.0005321919286447275
43,0.0006198457908199357,0.0055762686180820436,146,0.0004614952744753288
44,0.00012981964647408158,0.0022077003082016317,133,0.0001914318946963107
45,0.001020556077089578,0.004886330372355494,138,0.0004159520640912442
46,5.4583177887374206e-05,0.001309611068352105,133,0.00011355768135672439
47,4.099519771939508e-05,0.0014736974841999834,124,0.0001323419408729182
48,0.00023065325516625527,0.005623860220419028,125,0.0005030133499525559
49,0.0010504654723656542,0.012505845493067479,103,0.0012322375712518357
50,-9.48922064805925e-05,0.0005745584723677437,104,5.6340093505830506e-05
51,0.0006605267740857049,0.004049924904511264,118,0.0003728258071487361
52,0.00029777275234440343,0.009122052634184077,108,0.0008777699239846852
53,-0.001055215759144948,0.013589853067852199,102,0.0013455959624547875
54,0.0010173692659100368,0.005549242655192281,83,0.0006091085135504051
