Group,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Kendall_r,Kendall_p
Oncology,2736,0.07363186,0.00011577,0.03562975,0.06240352,0.02716332,0.05968084
Operating system,1092620,0.12770535,0.0,0.12490153,0.0,0.09583383,0.0
Ophthalmology,112692,0.08721499,0.0,0.04683493,0.0,0.03556752,0.0
Optics,1496011,0.08778661,0.0,0.07064622,0.0,0.05461221,0.0
Optometry,10250,0.0794105,0.0,0.06120878,0.0,0.04663733,0.0
Organic chemistry,512671,0.08909311,0.0,0.07154885,0.0,0.05446015,0.0
Orthodontics,1281,0.12825069,4.13e-06,0.0875227,0.00171567,0.06621051,0.00166941
Paleontology,96635,0.09237094,0.0,0.05450175,0.0,0.04178175,0.0
Parallel computing,4451,0.06491788,1.462e-05,0.05739837,0.00012738,0.04447119,0.00012503
Particle physics,120871,0.06930786,0.0,0.04634414,0.0,0.03656734,0.0
Pathology,336063,0.08216064,0.0,0.05071097,0.0,0.03817289,0.0
Pediatrics,8259,0.05638735,2.9e-07,0.02936363,0.00761432,0.02170582,0.00790753
Philosophy,798135,0.07940721,0.0,0.05748679,0.0,0.04464673,0.0
Physical chemistry,128721,0.08828774,0.0,0.07199774,0.0,0.05520173,0.0
Physical geography,85214,0.14334975,0.0,0.11980371,0.0,0.09329567,0.0
Physical therapy,5585,0.08208115,0.0,0.05454043,4.541e-05,0.04161821,3.395e-05
Physics,3461091,0.12397311,0.0,0.10503591,0.0,0.08141504,0.0
Physiology,1430,0.02098837,0.42773375,-0.00234867,0.92928988,-0.00173572,0.93136259
Political economy,31623,0.06612217,0.0,0.05732551,0.0,0.04618641,0.0
Political science,81396,0.04293699,0.0,0.03632617,0.0,0.02833894,0.0
Polymer chemistry,126,0.22748749,0.01041397,0.23526125,0.00800614,0.17939103,0.0083304
Polymer science,27934,0.10863848,0.0,0.08964669,0.0,0.06859946,0.0
Positive economics,13144,0.05606278,0.0,0.0428565,8.9e-07,0.03457173,8.6e-07
Programming language,23546,0.10972177,0.0,0.08434248,0.0,0.06555344,0.0
Psychiatry,666405,0.08347494,0.0,0.04938821,0.0,0.03718656,0.0
Psychoanalysis,120874,0.07296913,0.0,0.04667073,0.0,0.03595275,0.0
Psychology,239277,0.10892582,0.0,0.07757733,0.0,0.05960606,0.0
Public economics,80868,0.10720374,0.0,0.10912139,0.0,0.08682485,0.0
Pure mathematics,35056,0.08776111,0.0,0.07176726,0.0,0.05735197,0.0
Radiochemistry,4285,0.09280924,0.0,0.06290167,3.782e-05,0.04758234,4.454e-05
Radiology,150759,0.0586329,0.0,0.03009835,0.0,0.02234801,0.0
Regional science,4927,0.04694098,0.0009811,0.05409827,0.00014521,0.04235856,0.00015149
Risk analysis (engineering),46628,0.11947019,0.0,0.10920263,0.0,0.08427062,0.0
Sociology,468812,0.09816879,0.0,0.05474438,0.0,0.04253889,0.0
Software engineering,68993,0.10898907,0.0,0.09916087,0.0,0.07624007,0.0
Soil science,19266,0.12199808,0.0,0.09775613,0.0,0.07487648,0.0
Speech recognition,1028,0.14571877,2.71e-06,0.14095826,5.72e-06,0.10674881,7.25e-06
Statistics,1656442,0.1208249,0.0,0.11439202,0.0,0.08902009,0.0
Surgery,286985,0.06551043,0.0,0.03815891,0.0,0.02863029,0.0
Toxicology,4221,0.12155014,0.0,0.09745278,0.0,0.07361363,0.0
Traditional medicine,7951,0.08423562,0.0,0.08457924,0.0,0.0626735,0.0
Unknown,101,0.23927738,0.01595719,0.16667439,0.09573702,0.13334311,0.07637873
Urology,8838,0.04652119,1.213e-05,0.0201674,0.05797664,0.01508542,0.06016173
Veterinary medicine,7870,0.12846664,0.0,0.10833867,0.0,0.08099276,0.0
Virology,137338,0.10495516,0.0,0.05249972,0.0,0.03961905,0.0
World Wide Web,172021,0.0942015,0.0,0.06000365,0.0,0.04600175,0.0
